citedby,persNo,pubID,title,year
3,3109,84865492909,NMR structure of Carcinoscorpius rotundicauda thioredoxin-related protein 16 and its role in regulating transcription factor NF-?B activity,2012
21,3109,84863178511,Targeting of pro-apoptotic TLR adaptor SARM to mitochondria: Definition of the critical region and residues in the signal sequence,2012
14,3109,80054799282,Delineation of lipopolysaccharide (LPS)-binding sites on hemoglobin: From in silico predictions to biophysical characterization,2011
73,3109,80053637525,ANGPTL4 modulates vascular junction integrity by integrin signaling and disruption of intercellular VE-cadherin and claudin-5 clusters,2011
6,3109,80052099312,"Pathophysiological condition changes the conformation of a flexible FBG-related protein, switching it from pathogen-recognition to host-interaction",2011
1,3109,79960747451,Peptide isomerization induced by pH change regulates the S1 binding site in ficolins,2011
8,3109,79955802579,Histidine-mediated pH-sensitive regulation of m-ficolin:GlcNAc binding activity in innate immunity examined by molecular dynamics simulations,2011
6,3109,79955575381,Structural basis for dual-inhibition mechanism of a non-classical kazal-type serine protease inhibitor from horseshoe crab in complex with subtilisin,2011
3,3109,79958177991,Application of cell-free hemolymph of horseshoe crab in antimicrobial drug screening,2011
109,3109,79952498225,Angiopoietin-like 4 Protein Elevates the Prosurvival Intracellular O2-:H2O2 Ratio and Confers Anoikis Resistance to Tumors,2011
26,3109,79551555770,A computational and experimental study of the regulatory mechanisms of the complement system,2011
2,3109,78650863682,Modifying the substrate specificity of carcinoscorpius rotundicauda serine protease inhibitor domain 1 to target thrombin,2010
23,3109,78650675408,Secreted M-ficolin anchors onto monocyte transmembrane G protein-coupled receptor 43 and cross talks with plasma C-reactive protein to mediate immune signaling and regulate host defense,2010
15,3109,78049266859,"Correlation of charge, hydrophobicity, and structure with antimicrobial activity of S1 and MIRIAM peptides",2010
61,3109,77958468059,Angiopoietin-like 4 interacts with matrix proteins to modulate wound healing,2010
41,3109,77953315434,SARM inhibits both TRIF- and MyD88-mediated AP-1 activation,2010
4,3109,77950497765,Use of atomic force microscopy as a tool to understand the action of antimicrobial peptides on bacteria.,2010
12,3109,77951217265,Molecular interfaces of the galactose-binding protein tectonin domains in host-pathogen interaction,2010
21,3109,76349096031,Rapid reprogramming of haemoglobin structure-function exposes multiple dual-antimicrobial potencies,2010
37,3109,77956646349,Endotoxin detection - From Limulus amebocyte lysate to recombinant factor C,2010
2,3109,77955830666,One step at a time: Action mechanism of Sushi 1 antimicrobial peptide and derived molecules,2010
57,3109,78650181956,Angiopoietin-like 4 interacts with integrins ?1 and ?5 to modulate keratinocyte migration,2010
21,3109,67650222174,"Bombyx mori transferrin: Genomic structure, expression and antimicrobial activity of recombinant protein",2009
9,3109,67650888564,A novel human tectonin protein with multivalent ?-propeller folds interacts with ficolin and binds bacterial LPS,2009
15,3109,74449085791,A novel serine protease inhibitor acts as an immunomodulatory switch while maintaining homeostasis,2009
1,3109,67449103239,"Crystallization of a nonclassical Kazal-type Carcinoscorpius rotundicauda serine protease inhibitor, CrSPI-1, complexed with subtilisin",2009
17,3109,66749153183,Single molecule resolution of the antimicrobial action of quantum dot-labeled sushi peptide on live bacteria,2009
25,3109,60649085133,A supramolecular gene carrier composed of multiple cationic ?-cyclodextrins threaded on a PPO-PEO-PPO triblock polymer,2009
45,3109,59449106241,Interaction of an artificial antimicrobial peptide with lipid membranes,2009
56,3109,59249094527,Local inflammation induces complement crosstalk which amplifies the antimicrobial response,2009
10,3109,77953425115,Single-stranded DNA oligoaptamers: Molecular recognition and LPS antagonism are length- and secondary structure-dependent,2008
17,3109,46449117295,Thioredoxin-like 6 protects retinal cell line from photooxidative damage by upregulating NF-?B activity,2008
20,3109,42449113387,The Sushi peptides: Structural characterization and mode of action against Gram-negative bacteria,2008
14,3109,40649109724,"The Macromolecular Assembly of Pathogen-Recognition Receptors is Impelled by Serine Proteases, via Their Complement Control Protein Modules",2008
41,3109,38949205955,"SARM: a novel Toll-like receptor adaptor, is functionally conserved from arthropod to human",2008
13,3109,39149084707,"Elucidating the function of an ancient NF-?B p100 homologue, CrRelish, in antibacterial defense",2008
7,3109,37549031676,"A female-specific pentraxin, CrOctin, bridges pattern recognition receptors to bacterial phosphoethanolamine",2007
114,3109,34548785607,Respiratory protein-generated reactive oxygen species as an antimicrobial strategy,2007
79,3109,34547195138,C-reactive protein collaborates with plasma lectins to boost immune response against bacteria,2007
5,3109,34548449911,Recombinant factor C competes against LBP to bind lipopolysaccharide and neutralizes the endotoxicity,2007
57,3109,33847019613,Atomic force microscopy study of the antimicrobial action of Sushi peptides on Gram negative bacteria,2007
24,3109,33845659892,An evolutionarily conserved 16-kDa thioredoxin-related protein is an antioxidant which regulates the NF-?B signaling pathway,2007
24,3109,33845354737,Diversity in lectins enables immune recognition and differentiation of wide spectrum of pathogens,2006
164,3109,33845214371,Cationic supramolecules composed of multiple oligoethylenimine-grafted ?-cyclodextrins threaded on a polymer chain for efficient gene delivery,2006
14,3109,33748274757,Molecular mechanisms that govern the specificity of Sushi peptides for gram-negative bacterial membrane lipids,2006
138,3109,33646363763,Iron-withholding strategy in innate immunity,2006
55,3109,33646753901,Electron multiplying charge-coupled device camera based fluorescence correlation spectroscopy,2006
10,3109,33645981604,The specificity of Sushi peptides for endotoxin and anionic phospholipids: Potential application of POPG as an adjuvant for anti-LPS strategies,2006
66,3109,33645234317,Evidence for the ancient origin of the NF-?B/I?B cascade: Its archaic role in pathogen infection and immunity,2006
13,3109,33745152360,The molecular mechanism of interaction between sushi peptide and Pseudomonas endotoxin.,2006
62,3109,29944441136,Determination of critical micelle concentrations and aggregation numbers by fluorescence correlation spectroscopy: Aggregation of a lipopolysaccharide,2006
45,3109,27644444230,The response of ferritin to LPS and acute phase of Pseudomonas infection,2005
17,3109,25444465396,The antimicrobial properties of C-reactive protein (CRP),2005
14,3109,25444471284,Investigation of a novel artificial antimicrobial peptide by fluorescence correlation spectroscopy: An amphipathic cationic pattern is sufficient for selective binding to bacterial type membranes and antimicrobial activity,2005
27,3109,27844477305,"Spatial and temporal coordination of expression of immune response genes during Pseudomonas infection of horseshoe crab, Carcinoscorpius rotundicauda",2005
8,3109,14944379077,Single-cell protein diet of a novel recombinant vitellogenin yeast enhances growth and survival of first-feeding tilapia (Oreochromis mossambicus) larvae,2005
164,3109,13444269022,The ancient origin of the complement system,2005
44,3109,9644252819,"Perturbation of lipopolysaccharide (LPS) micelles by Sushi 3 (S3) antimicrobial peptide: The importance of an intermolecular disulfide bond in S3 dimer for binding, disruption, and neutralization of LPS",2004
106,3109,4344638189,De novo design of potent antimicrobial peptides,2004
10,3109,11344295837,Antimicrobial peptides: Resistant-proof antibiotics of the new millennium,2004
42,3109,3042853063,C-reactive protein: A predominant LPS-binding acute phase protein responsive to Pseudomonas infection,2004
6,3109,842300398,Expression of Recombinant Vitellogenin in the Yeast Pichia pastoris,2004
0,3109,2442519019,Construction of multimeric gene of peptides or small protein molecules to improve expression level in E. coli,2004
3,3109,1442302316,Current genome-wide analysis on serine proteases in innate immunity,2004
9,3109,1442272618,Transcriptional regulation of limulus factor C: repression of an NFkappaB motif modulates its responsiveness to bacterial lipopolysaccharide.,2003
11,3109,141705727,Tandem repeats of Sushi3 peptide with enhanced LPS-binding and -neutralizing activities,2003
22,3109,37377318,Sequence and structural diversity in endotoxin-binding dodecapeptides,2003
73,3109,37474268,"Receptor-ligand interaction between vitellogenin receptor (VtgR) and vitellogenin (Vtg), implications on low density lipoprotein receptor and apolipoprotein B/E. The first three ligand-binding repeats of VtgR interact with the amino-terminal region of Vtg",2003
19,3109,242585457,A novel fluorescent protein-based biosensor for gram-negative bacteria,2002
16,3109,37184084,Modular arrangement and secretion of a multidomain serine protease. Evidence for involvement of proline-rich region and N-glycans in the secretion pathway,2002
14,3109,36093705,Engineering a novel secretion signal for cross-host recombinant protein expression,2002
26,3109,36019354,Rational design of green fluorescent protein mutants as biosensor for bacterial endotoxin,2002
24,3109,35904464,Sequence analysis of a fish vitellogenin cDNA with a large phosvitin domain,2001
27,3109,34806998,High therapeutic index of factor C sushi peptides: Potent antimicrobials against Pseudomonas aeruginosa,2001
27,3109,35882755,High-performance affinity capture-removal of bacterial pyrogen from solutions,2001
68,3109,35426586,A new era in pyrogen testing,2001
8,3109,35133919,Functional expression of full length Limulus Factor C in stably transformed Sf9 cells,2001
65,3109,33813364,Definition of endotoxin binding sites in horseshoe crab Factor C recombinant sushi proteins and neutralization of endotoxin by sushi peptides,2000
48,3109,343092000,High-affinity LPS binding domain(s) in recombinant factor C of a horseshoe crab neutralizes LPS-induced lethality,2000
52,3109,84961979617,Interpretation of biological activity data of bacterial endotoxins by simple molecular models of mechanism of action,2000
13,3109,6034612,Temperature dependence of estrogen binding: Importance of a subzone in the ligand binding domain of a novel piscine estrogen receptor,1999
8,3109,32832679,"Synergistic effects of nuclear factors - GATA, VBP and ER in potentiating vitellogenin gene transcription",1999
5,3109,32881111,"Novel bioactivities from a coral, Galaxea fascicularis: DNase-like activity and apoptotic activity against a multiple-drug-resistant leukemia cell line",1999
26,3109,32567199,A novel piscine vitellogenin gene: Structural and functional analyses of estrogen-inducible promoter,1998
7,3109,32124830,"A novel antitumour compound from the mucus of a coral, galaxea fascicularis, inhibits topoisomerase I and II",1998
12,3109,31399222,Yeast recombinant factor C from horseshoe crab binds endotoxin and causes bacteriostasis,1997
4,3109,30819217,The Cys-rich and EGF-like domains of Carcinoscorpius rotundicauda Factor C yields soluble fusion protein with GFP,1997
0,3109,79958234569,Yeast recombinant factor C from horseshoe crab binds endotoxin and causes bacteriostasis,1997
3,3109,79958095464,Expression of full length and deletion homologues of Carcinoscorpius rotundicauda Factor C in Saccharomyces cerevisiae: Immunoreactivity and endotoxin binding,1997
11,3109,30856079,Cytotoxic and anticancer agents in mucus of Galaxea fascicularis: Purification and characterization,1997
0,3109,30725938,Corrigendum: Recombinant COS-1 cells express carcinoscorpius rotundicauda factor C (Biotechnology letters (1997) 19 (357-361)),1997
9,3109,30947963,Recombinant COS-1 cells express Carcinoscorpius rotundicauda Factor C,1997
14,3109,30969606,Expression of full length and deletion homologues of Carcinoscorpius rotundicauda factor C in Saccharomyces cerevisiae: Immunoreactivity and endotoxin binding,1997
12,3109,30438090,Expression of Carcinoscorpius rotundicauda Factor C in Pichia pastoris,1996
5,3109,30607427,Transcription regulatory signals in the 5' and 3' regions of Oreochromis aureus ER gene,1996
32,3109,30199891,"The first contiguous estrogen receptor gene from a fish, Oreochromis aureus: Evidence for multiple transcripts",1996
0,3109,29830749,"Erratum: The first contiguous estrogen receptor gene from a fish, Oreochromis aureus: Evidence for multiple transcripts (Molecular and Cellular Endocrinology (1996) 120 (186-188))",1996
4,3109,30245632,Neuroblastoma cell culture assay shows that Carcinoscorpius rotundicauda haemolymph neutralizes tetrodotoxin,1996
18,3109,29556203,Expression of Carcinoscorpius rotundicauda factor C cDNA,1995
35,3109,29257172,"Molecular cloning and sequence analysis of factor C cDNA from the Singapore horseshoe crab, Carcinoscorpius rotundicauda",1995
8,3109,28891526,Molecular cloning and sequencing of the hormone-binding domain of oreochromis aureus estrogen receptor gene,1995
4,3109,28836173,The hormone-binding domain of oreochromis aureus estrogen receptor gei homology comparison with other steroid binding receptors,1995
17,3109,28018471,Two major groups of vitellogenin cDNA clones from Oreochromis aureus (steindachner),1994
10,3109,28241744,"A tetrodotoxin neutralizing system in the haemolymph of the horseshoe crab, Carcinoscorpius rotundicauda",1994
34,3109,28081784,Cortisol-induced hepatic vitellogenin mRNA in Oreochromis aureus (Steindachner),1994
35,3109,27328307,Two forms of Factor C from the amoebocytes of Carcinoscorpius rotundicauda: purification and characterisation,1993
8,3109,27210702,Electrophoretic analysis of endotoxin-activated gelation reaction of carcinoscorpius rotundicauda amoebocyte lysate,1993
2,3109,27358062,Morphological changes of Carcinoscorpius rotundicauda amoebocyte and Escherichia coli during their interaction.,1993
54,3109,25806827,"Estradiol-induced vitellogenin gene expression in a teleost fish, oreochromis aureus",1991
3,3109,25160607,Inactivation of Factor C by dimethyl sulfoxide inhibits coagulation of the Carcinoscorpius Amoebocyte Lysate,1990
16,3109,25271769,"Cloning, characterisation and expression of vitellogenin gene of Oreochromis aureus (Teleostei, Cichlidae)",1990
1,3109,24828708,Stellate- and foci-formation of mouse fibroblast cells transfected with various cancer cell DNA,1989
2,3109,24536575,"Differential susceptibility of a fish, tilapia oreochromis mossambicus (teleostei, cichlidae) to hepatocarcinogenesis by diethylnitrosamine and methylazoxymethanol acetate",1989
77,3109,361219,Two forms of vitellogenin in the plasma and gonads of male Oreochromis aureus,1989
3,3109,24210047,Pokeweed mitogen stimulates DNA synthesis in cultured amoebocytes of Carcinoscorpius rotundicauda,1988
12,3109,23264906,Enhancement of specific [3H]ouabain binding and ouabain sensitive 86rubidium influx in intact human lymphocytes by a dialysable factor in human and fetal calf serum,1987
2,3109,23008908,"Conjugation of diazinon with glutathione, and ?-glutamyl transferase activities in P. Americana (L)",1986
21,3109,21853183,Hepatitis B infection in households of acute cases,1985
17,3109,21698696,An epidemic of cockles-associated hepatitis A in Singapore,1984
7,3109,84915671172,HEPATITIS B VIRUS IN LYMPHOCYTES OF SERONEGATIVE CARRIERS,1984
9,3109,21140008,Detection of HBeAg in the lymphocytes of sero-HBeAg negative patients with chronic hepatitis B and primary hepatocellular carcinoma,1984
3,3109,20488945,In situ determination of the molecular weight of hepatic ?-glutamyl transferase and ?-glutamyl hydrolase activities,1982
5,3109,19991950,The turnover of hepatoma cell ?-glutamyl transferase,1982
16,3109,19824224,Subcellular localization and isolation of ?-glutamyltransferase from rat hepatoma cells,1981
24,3109,19879020,Purification and properties of ?-glutamyl transferase from normal rat liver,1981
1,3109,18979062,The purification of gamma-glutamyltransferase from normal rat liver [proceedings],1980
89,3109,18635521,A sensitive fluorimetric assay for ?-glutamyl transferase,1979
3,3140,84962839010,Aestivation induces changes in transcription and translation of coagulation factor II and fibrinogen gamma chain in the liver of the African lungfish Protopterus annectens,2015
1,3140,84961784540,Endothelial-like nitric oxide synthase immunolocalization by using gold nanoparticles and dyes,2015
5,3140,84921463402,"Molecular characterization of betaine-homocysteine methyltransferase 1 from the liver, and effects of aestivation on its expressions and homocysteine concentrations in the liver, kidney and muscle, of the African lungfish, Protopterus annectens",2015
4,3140,84926358199,"Differential gene expression in the liver of the African lungfish, Protopterus annectens, after 6 months of aestivation in air or 1 day of arousal from 6 months of aestivation",2015
3,3140,84925600179,"Na+/K+-ATPase ?-subunit ( nka?) isoforms and their mRNA expression levels, overall nka?? protein abundance, and kinetic properties of Nka in the skeletal muscle and three electric organs of the electric eel, electrophorus electricus",2015
0,3140,84928165227,Ascorbate synthesis in fishes: A review,2015
4,3140,84918822563,"Signal molecule changes in the gills and lungs of the African lungfish Protopterus annectens, during the maintenance and arousal phases of aestivation",2015
5,3140,84926506313,"Light induces changes in activities of Na&lt;sup&gt;+&lt;/sup&gt;/K&lt;sup&gt;+&lt;/sup&gt;-ATPase, H&lt;sup&gt;+&lt;/sup&gt;/K&lt;sup&gt;+&lt;/sup&gt;-ATPase and glutamine synthetase in tissues involved directly or indirectly in light-enhanced calcification in the giant clam, Tridacna squamosa",2015
21,3140,84895145823,Excretory nitrogen metabolism and defence against ammonia toxicity in air-breathing fishes,2014
0,3140,84896704025,Lympho-granulocytic tissue associated with the wall of the spiral valve in the African lungfish Protopterus annectens,2014
20,3140,84900324669,"Expression of key ion transporters in the gill and esophageal- gastrointestinal tract of euryhaline mozambique tilapia oreochromis mossambicus acclimated to fresh water, seawater and hypersaline water",2014
9,3140,84903123672,"Brain Na<sup>+</sup>/K<sup>+</sup>-ATPase ?-subunit isoforms and aestivation in the African lungfish, Protopterus annectens",2014
8,3140,84930732085,"Molecular characterization of argininosuccinate synthase and argininosuccinate lyase from the liver of the African lungfish Protopterus annectens, and their mRNA expression levels in the liver, kidney, brain and skeletal muscle during aestivation",2014
10,3140,84905281358,"L-gulono-?-lactone oxidase expression and vitamin C synthesis in the brain and kidney of the African lungfish, Protopterus annectens",2014
3,3140,84901052839,"Functional roles of Na<sup>+</sup>/K<sup>+</sup>-ATPase in active ammonia excretion and seawater acclimation in the giant mudskipper, Periophthalmodon schlosseri",2014
10,3140,84964314366,"Differential transcriptomic analyses revealed genes and signaling pathways involved in iono-osmoregulation and cellular remodeling in the gills of euryhaline Mozambique tilapia, Oreochromis mossambicus",2014
4,3140,84896740214,"Properties and expression of Na<sup>+</sup>/K<sup>+</sup>-ATPase ?-subunit isoforms in the brain of the swamp eel, Monopterus albus, which has unusually high brain ammonia tolerance",2013
6,3140,84891679297,"Branchial Na<sup>+</sup>:K<sup>+</sup>:2Cl<sup>-</sup>cotransporter 1 and Na<sup>+</sup>/K<sup>+</sup>-ATPase a-subunit in a brackish water-type ionocyte of the euryhaline freshwater white-rimmed stingray, Himantura signifer",2013
9,3140,84884583852,"Increases in apoptosis, caspase activity and expression of p53 and bax, and the transition between two types of mitochondrion-rich cells, in the gills of the climbing perch, Anabas testudineus, during a progressive acclimation from freshwater to seawater",2013
5,3140,84884395833,"High Brain Ammonia Tolerance and Down-Regulation of Na<sup>+</sup>:K<sup>+</sup>:2Cl<sup>-</sup> Cotransporter 1b mRNA and Protein Expression in the Brain of the Swamp Eel, Monopterus albus, Exposed to Environmental Ammonia or Terrestrial Conditions",2013
10,3140,84881602123,"Differential Gene Expression in the Brain of the African Lungfish, Protopterus annectens, after Six Days or Six Months of Aestivation in Air",2013
9,3140,84877052854,"Nitric oxide synthase-dependent ""on/Off"" switch and apoptosis in freshwater and aestivating lungfish, Protopterus annectens: Skeletal muscle versus cardiac muscle",2013
5,3140,84879158150,"Ascorbic Acid Biosynthesis and Brackish Water Acclimation in the Euryhaline Freshwater White-Rimmed Stingray, Himantura signifer",2013
5,3140,84876861812,"The Chinese soft-shelled turtle, Pelodiscus sinensis, decreases nitrogenous excretion, reduces urea synthesis and suppresses ammonia production during emersion",2013
7,3140,84876016107,"Molecular Characterization of Branchial aquaporin 1aa and Effects of Seawater Acclimation, Emersion or Ammonia Exposure on Its mRNA Expression in the Gills, Gut, Kidney and Skin of the Freshwater Climbing Perch, Anabas testudineus",2013
1,3140,84870312230,"Hepatic carbamoyl phosphate synthetase (CPS) I and urea contents in the hylid tree frog, Litoria caerulea: Transition from CPS III to CPS I",2012
7,3140,84867532186,"The Chinese soft-shelled turtle, Pelodiscus sinensis, excretes urea mainly through the mouth instead of the kidney",2012
5,3140,84868145096,The spleen of the African lungfish Protopterus annectens: Freshwater and aestivation,2012
12,3140,84870258108,"Cystic fibrosis transmembrane conductance regulator in the gills of the climbing perch, Anabas testudineus, is involved in both hypoosmotic regulation during seawater acclimation and active ammonia excretion during ammonia exposure",2012
26,3140,84863514750,"Roles of three branchial Na <sup>+</sup>-K <sup>+</sup>-ATPase ?-subunit isoforms in freshwater adaptation, seawater acclimation, and active ammonia excretion in Anabas testudineus",2012
17,3140,84859833206,"Both seawater acclimation and environmental ammonia exposure lead to increases in mRNA expression and protein abundance of Na <sup>+</sup>:K <sup>+</sup>:2Cl <sup>-</sup> cotransporter in the gills of the climbing perch, Anabas testudineus",2012
11,3140,84862180219,Aestivation and hypoxia-related events share common silent neuron trafficking processes,2012
12,3140,84858719311,"Molecular characterization and mRNA expression of carbamoyl phosphate synthetase III in the liver of the African lungfish, Protopterus annectens, during aestivation or exposure to ammonia",2012
22,3140,84856013900,"Differential gene expression in the liver of the African lungfish, Protopterus annectens, after 6 days of estivation in air",2012
11,3140,83655167250,The alimentary canal of the African lungfish Protopterus annectens during aestivation and after arousal,2012
5,3140,84866272328,"Gene cloning and mRNA expression of glutamate dehydrogenase in the liver, brain, and intestine of the swamp eel, Monopterus albus (Zuiew), exposed to freshwater, terrestrial conditions, environmental ammonia, or salinity stress",2011
8,3140,79958075119,The gut of the juvenile African lungfish Protopterus annectens: A light and scanning electron microscope study,2011
7,3140,78751683067,Lungfish aestivating activities are locked in distinct encephalic ?-aminobutyric acid type A receptor ? subunits,2011
76,3140,79960012321,"Ammonia production, excretion, toxicity, and defense in fish: A review",2010
9,3140,77953718629,"Roles of intestinal glutamate dehydrogenase and glutamine synthetase in environmental ammonia detoxification in the euryhaline four-eyed sleeper, Bostrychus sinensis",2010
9,3140,77952513968,Intestinal osmoregulatory acclimation and nitrogen metabolism in juveniles of the freshwater marble goby exposed to seawater,2010
20,3140,77949537327,Nitrogen metabolism and excretion during aestivation.,2010
19,3140,77749308362,Cytochrome c oxidase is regulated by modulations in protein expression and mitochondrial membrane phospholipid composition in estivating African lungfish,2010
11,3140,77951909666,Upregulation of intracellular antioxidant enzymes in brain and heart during estivation in the African lungfish Protopterus dolloi.,2010
6,3140,77954583010,"The anatomy of the gastrointestinal tract of the African lungfish, Protopterus annectens",2010
16,3140,71649111662,Branchial ammonia excretion in the Asian weatherloach Misgurnus anguillicaudatus,2010
14,3140,70449706037,"The freshwater Amazonian stingray, Potamotrygon motoro, up-regulates glutamine synthetase activity and protein abundance, and accumulates glutamine when exposed to brackish (15ä) water",2009
45,3140,70949087748,Environmental ammonia exposure induces oxidative stress in gills and brain of Boleophthalmus boddarti (mudskipper),2009
9,3140,70449397571,"Acute ammonia toxicity and the protective effects of methionine sulfoximine on the swamp eel, Monopterus albus",2009
12,3140,70249117421,"Nitrogen metabolism and branchial osmoregulatory acclimation in the juvenile marble goby, Oxyeleotris marmorata, exposed to seawater",2009
2,3140,70349332985,Ionoregulatory physiology of two species of African lungfishes Protopterus dolloi and Protopterus annectens,2009
7,3140,70449712285,"Branchial and intestinal osmoregulatory acclimation in the four-eyed sleeper, Bostrychus sinensis (Lacepde), exposed to seawater",2009
13,3140,66149099329,"Glutamine accumulation and up-regulation of glutamine synthetase activity in the swamp eel, Monopterus albus (Zuiew), exposed to brackish water",2009
10,3140,63849160104,Increased gene expression of a facilitated diffusion urea transporter in the skin of the African lungfish (Protopterus annectens) during massively elevated post-terrestrialization urea excretion,2009
8,3140,57649087638,Water balance and renal function in two species of African lungfish Protopterus dolloi and Protopterus annectens,2009
10,3140,57849147572,Profiling teacher/teaching using descriptors derived from qualitative feedback: Formative and summative applications,2009
18,3140,54249095069,"Postprandial nitrogen metabolism and excretion in juvenile marble goby, Oxyeleotris marmorata (Bleeker, 1852)",2008
15,3140,52049094587,Renal corpuscle of the African lungfish Protopterus dolloi: Structural and histochemical modifications during aestivation,2008
26,3140,47949120767,Carbohydrate and amino acid metabolism in fasting and aestivating African lungfish (Protopterus dolloi),2008
17,3140,47949099848,"Lipid, ketone body and oxidative metabolism in the African lungfish, Protopterus dolloi following 60Êdays of fasting and aestivation",2008
16,3140,49349103537,Effects of hypoxia on the energy status and nitrogen metabolism of African lungfish during aestivation in a mucus cocoon,2008
11,3140,49249101712,"The influence of feeding on aerial and aquatic oxygen consumption, nitrogenous waste excretion, and metabolic fuel usage in the African lungfish, Protopterus annectens",2008
5,3140,48949087367,Enzymatic and mitochondrial responses to 5 months of aerial exposure in the slender lungfish Protopterus dolloi,2008
15,3140,48549084481,The structural characteristics of the heart ventricle of the African lungfish Protopterus dolloi: Freshwater and aestivation,2008
21,3140,43149114676,"Increased urea synthesis and/or suppressed ammonia production in the African lungfish, Protopterus annectens, during aestivation in air or mud",2008
8,3140,38749145888,Plasma non-esterified fatty acids of elasmobranchs: Comparisons of temperate and tropical species and effects of environmental salinity,2008
34,3140,37449029816,Differential NOS expression in freshwater and aestivating Protopterus dolloi (lungfish): Heart vs kidney readjustments,2008
6,3140,38749083778,"Mechanisms of and defense against acute ammonia toxicity in the aquatic Chinese soft-shelled turtle, Pelodiscus sinensis",2008
32,3140,36749096820,Control of breathing in African lungfish (Protopterus dolloi): A comparison of aquatic and cocooned (terrestrialized) animals,2008
23,3140,36748999405,"Changes in tissue free amino acid contents, branchial Na<sup>+</sup>/K <sup>+</sup>-ATPase activity and bimodal breathing pattern in the freshwater climbing perch, Anabas testudineus (Bloch), during seawater acclimation",2007
12,3140,34548665030,"Defense against environmental ammonia toxicity in the African lungfish, Protopterus aethiopicus: Bimodal breathing, skin ammonia permeability and urea synthesis",2007
21,3140,34250340194,"Active ammonia excretion in the giant mudskipper, Periophthalmodon schlosseri (Pallas), during emersion",2007
16,3140,34347258527,Mechanisms of acid-base regulation in the African lungfish Protopterus annectens,2007
28,3140,34047240004,"Ammonia toxicity and tolerance in the brain of the African sharptooth catfish, Clarias gariepinus",2007
10,3140,33845778038,"Postprandial increases in nitrogenous excretion and urea synthesis in the Chinese soft-shelled turtle, Pelodiscus sinensis",2007
28,3140,33845948395,The African lungfish (Protopterus dolloi): Ionoregulation and osmoregulation in a fish out of water,2007
11,3140,33845433822,"Nitrogen metabolism and excretion in the aquatic Chinese soft-shelled turtle, Pelodiscus sinensis, exposed to a progressive increase in ambient salinity",2006
22,3140,33751031322,Ammonia as a respiratory gas in water and air-breathing fishes,2006
8,3140,33845188433,Characterization of cDNAs encoding cholesterol side chain cleavage and 3?-hydroxysteroid dehydrogenase in the freshwater stingray Potamotrygon motoro,2006
